,zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,countryCurrency,price,unformattedPrice,isUndisclosedAddress,beds,baths,area,isZillowOwned,hdpData,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,zestimate,shouldShowZestimateAsPrice,hasVideo,isHomeRec,hasAdditionalAttributions,availabilityDate,streetViewMetadataURL,streetViewURL
0,37.805623--122.27508,37.805623--122.27508,1001486887.0,https://photos.zillowstatic.com/fp/0a79a60e6ff5d3fe7b261040ba5d7605-p_e.jpg,True,FOR_RENT,Domain Oakland,/b/domain-oakland-oakland-ca-5XjVPv/,"{'latitude': 37.805623, 'longitude': -122.27508}","[{'price': '$2,399+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated today'}",,Domain Oakland,True,"1389 Jefferson St, Oakland, CA",1389 Jefferson St # C209,CA,Oakland,94612,253tk85a1ab9v,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
1,37.828877--122.265456,37.828877--122.265456,2329248402.0,https://photos.zillowstatic.com/fp/1ac29ea29cec0bdd733df393b927a67c-p_e.jpg,True,FOR_RENT,MacArthur Commons,/b/macarthur-commons-oakland-ca-BG4Hxg/,"{'latitude': 37.828877, 'longitude': -122.265456}","[{'price': '$2,085+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated today'}",,MacArthur Commons,True,"540 39th St, Oakland, CA",540 39th St # A2-307,CA,Oakland,94609,gxe62xf2pxwa,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
2,37.791842--122.420288,37.791842--122.420288,2082886036.0,https://photos.zillowstatic.com/fp/5f52a52b7d2bffd64ea8a5591f2fda57-p_e.jpg,True,FOR_RENT,For Rent,/b/1656-sacramento-st-san-francisco-ca-9NKFjJ/,"{'latitude': 37.791842, 'longitude': -122.420288}","[{'price': '$2,995', 'beds': '1'}, {'price': '$2,895', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated today'}",,,True,"1656 Sacramento St, San Francisco, CA",1656 Sacramento St # 4,CA,San Francisco,94109,bb3jxhpcfsur,False,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,,
3,2067470365,2067470365,,https://photos.zillowstatic.com/fp/89e4e4abc7fde941b62ef2e75916bdeb-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/1614-Willow-St-Alameda-CA-94501/2067470365_zpid/,"{'latitude': 37.770107, 'longitude': -122.2478}",,"{'type': 'TIME_ON_INFO', 'text': '1 minute ago', 'data': {'isFresh': True}}",,,,"1614 Willow St, Alameda, CA 94501",1614 Willow St,CA,Alameda,94501,4ku1a5pnyawbj,,False,True,False,True,False,$,"$2,400/mo",2400.0,False,1.0,1.0,,False,"{'homeInfo': {'zpid': 2067470365, 'streetAddress': '1614 Willow St', 'zipcode': '94501', 'city': 'Alameda', 'state': 'CA', 'latitude': 37.770107, 'longitude': -122.2478, 'price': 2400.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'imageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_g.png', 'daysOnZillow': 0, 'isFeatured': True, 'shouldHighlight': False, 'brokerId': 0, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'mediumImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_c.png', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2400.0, 'timeOnZillow': 1637656800000, 'hiResImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_f.png', 'watchImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_j.png', 'tvImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_m.png', 'tvCollectionImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_l.png', 'tvHighResImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_n.png', 'desktopWebHdpImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_h.png', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA'}}",False,False,ForRent,For Rent,,False,False,False,False,,,
4,2067470396,2067470396,,https://photos.zillowstatic.com/fp/94617e1465b34a03c47d7b6878e09314-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/270-Capitol-Ave-3-San-Francisco-CA-94112/2067470396_zpid/,"{'latitude': 37.712755, 'longitude': -122.458788}",,"{'type': 'TIME_ON_INFO', 'text': '1 minute ago', 'data': {'isFresh': True}}",,,,"270 Capitol Ave #3, San Francisco, CA 94112",270 Capitol Ave #3,CA,San Francisco,94112,19hq894s6tc9g,,False,False,False,True,False,$,"$3,000/mo",3000.0,False,2.0,2.0,900.0,False,"{'homeInfo': {'zpid': 2067470396, 'streetAddress': '270 Capitol Ave #3', 'zipcode': '94112', 'city': 'San Francisco', 'state': 'CA', 'latitude': 37.712755, 'longitude': -122.458788, 'price': 3000.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 900.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'imageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_g.png', 'daysOnZillow': 0, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 0, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'mediumImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_c.png', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 3000.0, 'timeOnZillow': 1637656320000, 'hiResImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_f.png', 'watchImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_j.png', 'tvImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_m.png', 'tvCollectionImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_l.png', 'tvHighResImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_n.png', 'desktopWebHdpImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_h.png', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 3'}}",False,False,ForRent,For Rent,,False,False,False,False,,,
5,2077524215,2077524215,,https://photos.zillowstatic.com/fp/9a2c452a17d700434b0a30bbc807a3d2-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/42-Grafton-Ave-42-San-Francisco-CA-94112/2077524215_zpid/,"{'latitude': 37.72021, 'longitude': -122.453846}",,"{'type': 'TIME_ON_INFO', 'text': '1 minute ago', 'data': {'isFresh': True}}",,,,"42 Grafton Ave #42, San Francisco, CA 94112",42 Grafton Ave #42,CA,San Francisco,94112,22vza1qftx2ab,,False,False,False,True,False,$,"$2,300/mo",2300.0,False,2.0,1.0,550.0,False,"{'homeInfo': {'zpid': 2077524215, 'streetAddress': '42 Grafton Ave #42', 'zipcode': '94112', 'city': 'San Francisco', 'state': 'CA', 'latitude': 37.72021, 'longitude': -122.453846, 'price': 2300.0, 'bathrooms': 1.0, 'bedrooms': 2.0, 'livingArea': 550.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'imageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_g.png', 'daysOnZillow': 0, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 0, 'isRentalWithBasePrice': False, 'rentZestimate': 2385, 'listing_sub_type': {}, 'isUnmappable': False, 'mediumImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_c.png', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2300.0, 'timeOnZillow': 1637645040000, 'hiResImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_f.png', 'watchImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_j.png', 'tvImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_m.png', 'tvCollectionImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_l.png', 'tvHighResImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_n.png', 'desktopWebHdpImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_h.png', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 42'}}",False,False,ForRent,For Rent,,False,False,False,False,2021-12-01 00:00:00,,
6,2067470845,2067470845,,https://photos.zillowstatic.com/fp/bf94b93b1063037e3be32c8ef9f4542d-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/Alameda-CA-94501/2067470845_zpid/,{},,"{'type': 'TIME_ON_INFO', 'text': '2 minutes ago', 'data': {'isFresh': True}}",,,,"(undisclosed Address), Alameda, CA 94501",(undisclosed Address),CA,Alameda,94501,17r9n46byjy0d,,False,False,False,True,False,$,"$1,950/mo",1950.0,True,1.0,1.0,600.0,False,"{'homeInfo': {'zpid': 2067470845, 'streetAddress': '(undisclosed Address)', 'zipcode': '94501', 'city': 'Alameda', 'state': 'CA', 'price': 1950.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 600.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'imageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_g.png', 'daysOnZillow': 0, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 0, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'mediumImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_c.png', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1950.0, 'timeOnZillow': 1637644500000, 'hiResImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_f.png', 'watchImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_j.png', 'tvImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_m.png', 'tvCollectionImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_l.png', 'tvHighResImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_n.png', 'desktopWebHdpImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_h.png', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA'}}",False,False,ForRent,For Rent,,False,False,False,False,2021-11-29 00:00:00,,
7,2078945712,2078945712,,https://photos.zillowstatic.com/fp/16129f3359128bbe3539a1775a27f471-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/281-Juana-Ave-204-San-Leandro-CA-94577/2078945712_zpid/,"{'latitude': 37.723692, 'longitude': -122.152233}",,"{'type': 'TIME_ON_INFO', 'text': '12 minutes ago', 'data': {'isFresh': True}}",,,,"281 Juana Ave #204, San Leandro, CA 94577",281 Juana Ave #204,CA,San Leandro,94577,xcvk2gtfmd8c,,False,False,False,True,False,$,"$2,595/mo",2595.0,False,2.0,2.0,1200.0,False,"{'homeInfo': {'zpid': 2078945712, 'streetAddress': '281 Juana Ave #204', 'zipcode': '94577', 'city': 'San Leandro', 'state': 'CA', 'latitude': 37.723692, 'longitude': -122.152233, 'price': 2595.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 1200.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'imageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_g.png', 'daysOnZillow': 0, 'isFeatured': False, 'shouldHighlight': False, 'brokerId': 0, 'isRentalWithBasePrice': False, 'rentZestimate': 2667, 'listing_sub_type': {}, 'isUnmappable': False, 'mediumImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_c.png', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2595.0, 'timeOnZillow': 1637643900000, 'hiResImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_f.png', 'watchImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_j.png', 'tvImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_m.png', 'tvCollectionImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_l.png', 'tvHighResImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_n.png', 'desktopWebHdpImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_h.png', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 204'}}",False,False,ForRent,For Rent,,False,False,False,False,,,
8,2072354025,2072354025,,https://photos.zillowstatic.com/fp/9f7141a3b5fe4da7d1fb1ae1745ce16c-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/1411-Alice-St-KQGEKNY6U-Oakland-CA-94612/2072354025_zpid/,"{'latitude': 37.802745, 'longitude': -122.266465}",,"{'type': 'TIME_ON_INFO', 'text': 'Updated today', 'data': {'isFresh': True}}",,,,"1411 Alice St #KQGEKNY6U, Oakland, CA 94612",1411 Alice St #KQGEKNY6U,CA,Oakland,94612,ht49xge1z3he,,False,True,False,True,False,$,"$2,311+/mo",2311.0,False,1.0,1.0,604.0,False,"{'homeInfo': {'zpid': 2072354025, 'streetAddress': '1411 Alice St #KQGEKNY6U', 'zipcode': '94612', 'city': 'Oakland', 'state': 'CA', 'latitude': 37.802745, 'longitude': -122.266465, 'price': 2311.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 604.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'imageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_g.png', 'daysOnZillow': 248, 'isFeatured': True, 'shouldHighlight': False, 'brokerId': 0, 'isRentalWithBasePrice': False, 'rentZestimate': 2400, 'listing_sub_type': {}, 'isUnmappable': False, 'mediumImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_c.png', 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2311.0, 'timeOnZillow': 1616183580000, 'rentalRefreshTime': 1616208780000, 'hiResImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_f.png', 'watchImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_j.png', 'tvImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_m.png', 'tvCollectionImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_l.png', 'tvHighResImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_n.png', 'desktopWebHdpImageLink': 'https://www.zillowstatic.com/static/images/nophoto_p_h.png', 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# kqgekny6u'}}",False,False,ForRent,For Rent,,False,False,False,False,,,
9,37.813286--122.250023,37.813286--122.250023,1002256132.0,https://photos.zillowstatic.com/fp/f7342d5a8df104e2f749ddfefd35059d-p_e.jpg,True,FOR_RENT,For Rent,/b/466-crescent-st-oakland-ca-5Xs3nn/,"{'latitude': 37.813286, 'longitude': -122.250023}","[{'price': '$1,995+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated today'}",,,True,"466 Crescent St, Oakland, CA",466 Crescent St Apt 305,CA,Oakland,94610,42ccyhhdbd57c,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,,,
